Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
02189;CHIVRES EN LAONNOIS;02350;;CHIVRES EN LAONNOIS;49.6268606782,3.85603255601
02195;CIRY SALSOGNE;02220;;CIRY SALSOGNE;49.3674868367,3.46778299062
02197;CLAIRFONTAINE;02260;;CLAIRFONTAINE;49.9739945177,3.98660655282
02199;CLASTRES;02440;;CLASTRES;49.7488769741,3.2302033407
02208;CONCEVREUX;02160;;CONCEVREUX;49.3764478648,3.78830446161
02211;CONDE SUR SUIPPE;02190;;CONDE SUR SUIPPE;49.4138370327,3.94498449027
02213;CONNIGIS;02330;;CONNIGIS;49.0359363932,3.53287282671
02216;CORCY;02600;;CORCY;49.2549892095,3.19724367023
02218;COUCY LES EPPES;02840;;COUCY LES EPPES;49.5566159059,3.77716711865
02220;COULONGES COHAN;02130;COHAN;COULONGES COHAN;49.1980463524,3.62776592985
02223;COURBOIN;02330;;COURBOIN;48.9960917184,3.50690687861
02224;COURCELLES SUR VESLE;02220;;COURCELLES SUR VESLE;49.348025885,3.57684035869
02227;COURMONT;02130;;COURMONT;49.1377444173,3.57546880498
02230;COUVRELLES;02220;;COUVRELLES;49.3339841009,3.48486954064
02244;CRUPILLY;02120;;CRUPILLY;49.9313828796,3.75249198254
02254;CUTRY;02600;;CUTRY;49.3442753875,3.19127169549
02258;DAMMARD;02470;;DAMMARD;49.1470522556,3.17719709632
02263;DHUIZEL;02220;;DHUIZEL;49.3602201297,3.61487590771
02273;DURY;02480;;DURY;49.751235296,3.13377121735
02279;EPAUX BEZU;02400;;EPAUX BEZU;49.1029988371,3.35359350285
02280;EPIEDS;02400;;EPIEDS;49.1045180167,3.45072347386
02282;EPPES;02840;;EPPES;49.5523855068,3.73980858367
02284;ERLOY;02260;;ERLOY;49.9195909244,3.83764920476
02288;ESSIGNY LE PETIT;02100;;ESSIGNY LE PETIT;49.8961825414,3.36742260207
02291;ESTREES;02420;;ESTREES;49.9705842912,3.2801536166
02296;ETREILLERS;02590;;ETREILLERS;49.8325776228,3.15800068609
02303;FAYET;02100;;FAYET;49.8710844824,3.25278845948
02308;FESMY LE SART;02450;;FESMY LE SART;50.0482154856,3.69825469199
02311;FILAIN;02000;;FILAIN;49.4528807514,3.5574063541
02315;FLAVY LE MARTEL;02520;;FLAVY LE MARTEL;49.7047240534,3.19451403575
02317;FLUQUIERES;02590;;FLUQUIERES;49.800435087,3.15658582012
02318;FOLEMBRAY;02670;;FOLEMBRAY;49.5492820594,3.29319165625
02319;FONSOMME;02110;;FONSOMME;49.9012467271,3.39650664791
02321;FONTAINE LES VERVINS;02140;;FONTAINE LES VERVINS;49.8537390603,3.90543025367
02326;FONTENOY;02290;;FONTENOY;49.4099999437,3.19454758662
02339;GANDELU;02810;;GANDELU;49.0832089104,3.18156231552
02347;GLAND;02400;;GLAND;49.0579740538,3.45713931457
02349;GOUDELANCOURT LES BERRIEUX;02820;;GOUDELANCOURT LES BERRIEUX;49.4946764579,3.85858670968
02350;GOUDELANCOURT LES PIERREPONT;02350;;GOUDELANCOURT LES PIERREPONT;49.6783296824,3.85162740345
02351;GOUSSANCOURT;02130;;GOUSSANCOURT;49.1608459229,3.65658681802
02361;GUISE;02120;;GUISE;49.8960415076,3.62476062929
02363;GUNY;02300;;GUNY;49.5120153085,3.26082658052
02366;HANNAPES;02510;;HANNAPES;49.9771158104,3.61442642232
02367;HAPPENCOURT;02480;;HAPPENCOURT;49.7825905619,3.1831286327
02372;HARTENNES ET TAUX;02210;;HARTENNES ET TAUX;49.2789534457,3.35763287633
02378;LA HERIE;02500;;LA HERIE;49.8838269882,4.04360657052
02382;HOLNON;02760;;HOLNON;49.8612556888,3.20085325892
02398;JUVIGNY;02880;;JUVIGNY;49.44857677,3.31533781107
02400;LAFFAUX;02880;;LAFFAUX;49.4494770874,3.42995693216
02406;LANDRICOURT;02380;;LANDRICOURT;49.505420346,3.36950507041
02412;LAUNOY;02210;;LAUNOY;49.2629984132,3.4054374314
02433;LISLET;02340;;LISLET;49.6757265054,4.02084295692
02439;LES SEPTVALLONS;02160;LONGUEVAL BARBONVAL;LES SEPTVALLONS;49.3603355862,3.65567844397
02439;LES SEPTVALLONS;02160;PERLES;LES SEPTVALLONS;49.3603355862,3.65567844397
02439;LES SEPTVALLONS;02160;REVILLON;LES SEPTVALLONS;49.3603355862,3.65567844397
02442;LOUPEIGNE;02130;;LOUPEIGNE;49.2411071956,3.5251073823
02450;MACQUIGNY;02120;;MACQUIGNY;49.8732387452,3.57070489565
02451;MAGNY LA FOSSE;02420;;MAGNY LA FOSSE;49.9371259007,3.27654031882
02452;MAISSEMY;02490;;MAISSEMY;49.8929443672,3.1890371838
02465;MARIGNY EN ORXOIS;02810;;MARIGNY EN ORXOIS;49.0526386182,3.22281001734
02466;MARIZY STE GENEVIEVE;02470;;MARIZY STE GENEVIEVE;49.1825477943,3.19814247608
02467;MARIZY ST MARD;02470;;MARIZY ST MARD;49.1822693098,3.22799114728
